YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,6,28,7,DL,2241,N3762Y,ATL,ORD,2048,2049.0,1.0,17.0,2106.0,129.0,118.0,86.0,606,2132.0,15.0,2157,2147.0,-10.0,False,False,,,,,,
2015,7,24,5,B6,50,N316JB,SAV,BOS,1415,1411.0,-4.0,15.0,1426.0,138.0,138.0,118.0,901,1624.0,5.0,1633,1629.0,-4.0,False,False,,,,,,
2015,8,8,6,OO,6354,N908SW,DEN,FCA,1414,1409.0,-5.0,14.0,1423.0,134.0,118.0,100.0,752,1603.0,4.0,1628,1607.0,-21.0,False,False,,,,,,
2015,12,23,3,B6,52,N637JB,MCO,BOS,805,819.0,14.0,15.0,834.0,168.0,161.0,142.0,1121,1056.0,4.0,1053,1100.0,7.0,False,False,,,,,,
2015,11,8,7,UA,898,N835UA,IAH,MSY,2127,2122.0,-5.0,14.0,2136.0,73.0,63.0,44.0,305,2220.0,5.0,2240,2225.0,-15.0,False,False,,,,,,
2015,5,16,6,UA,1029,N78438,SFO,LAS,1948,2032.0,44.0,16.0,2048.0,94.0,82.0,59.0,414,2147.0,7.0,2122,2154.0,32.0,False,False,,0.0,0.0,0.0,32.0,0.0
2015,4,2,4,MQ,2988,N517MQ,DFW,GRR,1825,1826.0,1.0,13.0,1839.0,150.0,128.0,111.0,931,2130.0,4.0,2155,2134.0,-21.0,False,False,,,,,,
2015,6,9,2,WN,48,N441WN,CMH,MDW,1400,1354.0,-6.0,8.0,1402.0,65.0,66.0,48.0,283,1350.0,10.0,1405,1400.0,-5.0,False,False,,,,,,
2015,1,27,2,MQ,3549,N641MQ,MIA,CVG,1850,1841.0,-9.0,22.0,1903.0,165.0,178.0,150.0,948,2133.0,6.0,2135,2139.0,4.0,False,False,,,,,,
2015,5,5,2,EV,4372,N17169,DCA,EWR,1837,1831.0,-6.0,73.0,1944.0,83.0,123.0,41.0,199,2025.0,9.0,2000,2034.0,34.0,False,False,,34.0,0.0,0.0,0.0,0.0
