FLIGHT_ID,DATETIME,AIRLINE_CODE,ORIGIN_IATA,DEST_IATA,DISTANCE,TOTAL_DELAY,CANCELLATION_REASON,AIR_SYSTEM_DELAY,WEATHER_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY
1,2015-06-28,DL,ATL,ORD,606,1.0,,False,False,False,False,False
2,2015-07-24,B6,SAV,BOS,901,0.0,,False,False,False,False,False
3,2015-08-08,OO,DEN,FCA,752,0.0,,False,False,False,False,False
4,2015-12-23,B6,MCO,BOS,1121,21.0,,False,False,False,False,False
5,2015-11-08,UA,IAH,MSY,305,0.0,,False,False,False,False,False
6,2015-05-16,UA,SFO,LAS,414,76.0,,False,False,False,False,True
7,2015-04-02,MQ,DFW,GRR,931,1.0,,False,False,False,False,False
8,2015-06-09,WN,CMH,MDW,283,0.0,,False,False,False,False,False
9,2015-01-27,MQ,MIA,CVG,948,4.0,,False,False,False,False,False
10,2015-05-05,EV,DCA,EWR,199,34.0,,True,False,False,False,False
11,2015-05-10,MQ,ORD,TUL,585,51.0,,True,False,False,True,False
12,2015-11-02,AA,DEN,DFW,641,152.0,,False,False,False,False,True
13,2015-02-05,UA,IAH,LAS,1222,8.0,,False,False,False,False,False
14,2015-08-26,AA,JFK,LAS,2248,0.0,,False,False,False,False,False
15,2015-01-04,MQ,ORD,GRR,137,210.0,,True,True,False,False,True
16,2015-05-15,EV,FSM,DFW,227,0.0,,False,False,False,False,False
17,2015-09-06,DL,LGA,BOS,184,0.0,,False,False,False,False,False
18,2015-07-01,DL,ATL,GSO,306,299.0,,False,False,False,True,False
19,2015-06-21,AA,MCI,ORD,403,130.0,,True,True,False,False,True
20,2015-06-13,UA,DEN,SFO,967,131.0,,False,False,False,False,True
21,2015-12-04,AA,MCO,JFK,944,0.0,,False,False,False,False,False
22,2015-12-28,NK,OAK,ORD,1836,1615.0,Weather,False,False,False,False,False
23,2015-11-11,DL,MSP,STL,448,0.0,,False,False,False,False,False
24,2015-05-26,OO,MSP,XNA,596,0.0,,False,False,False,False,False
25,2015-01-05,DL,ATL,ELP,1282,0.0,,False,False,False,False,False
26,2015-02-12,US,STL,PHX,1262,4.0,,False,False,False,False,False
27,2015-03-28,NK,DTW,TPA,983,0.0,,False,False,False,False,False
28,2015-07-25,DL,DCA,MSP,931,1.0,,False,False,False,False,False
29,2015-08-29,AA,SAN,DFW,1171,19.0,,False,False,False,False,False
30,2015-08-19,AA,DCA,MCI,949,0.0,,False,False,False,False,False
31,2015-09-09,UA,EWR,CLE,404,0.0,,False,False,False,False,False
32,2015-02-14,AA,LAX,DFW,1235,13.0,,False,False,False,False,False
33,2015-06-26,EV,RIC,BOS,474,0.0,,False,False,False,False,False
34,2015-05-15,US,LAX,PHL,2402,3.0,,False,False,False,False,False
35,2015-07-13,WN,PHX,ABQ,328,0.0,,False,False,False,False,False
36,2015-12-07,VX,SEA,SFO,679,0.0,,False,False,False,False,False
37,2015-07-07,AA,LGA,ORD,733,66.0,,False,False,False,False,True
38,2015-05-22,DL,ATL,PBI,545,0.0,,False,False,False,False,False
39,2015-11-10,DL,MCO,ATL,404,0.0,,False,False,False,False,False
40,2015-06-16,AA,DFW,ATL,731,14.0,,False,False,False,False,False
41,2015-09-13,OO,PDX,BUR,817,0.0,,False,False,False,False,False
42,2015-09-27,UA,LAX,ORD,1744,54.0,,True,False,False,True,False
43,2015-08-13,EV,IAH,JAN,351,0.0,,False,False,False,False,False
44,2015-07-28,AA,RDU,PHL,337,56.0,,False,False,False,False,True
45,2015-04-29,NK,MCO,ORD,1005,0.0,,False,False,False,False,False
46,2015-04-07,WN,BNA,MCI,491,0.0,,False,False,False,False,False
47,2015-09-05,WN,MCO,ATL,404,0.0,,False,False,False,False,False
48,2015-07-05,DL,BOS,MSP,1124,0.0,,False,False,False,False,False
49,2015-09-18,UA,LAS,ORD,1514,21.0,,True,False,False,False,False
50,2015-11-27,OO,DEN,LAR,113,1.0,,False,False,False,False,False
51,2015-04-12,B6,SEA,LGB,965,0.0,,False,False,False,False,False
52,2015-08-13,OO,ONT,SEA,956,0.0,,False,False,False,False,False
53,2015-11-19,WN,LAS,HOU,1235,3.0,,False,False,False,False,False
54,2015-05-31,EV,LGA,SAV,722,1615.0,Carrier,False,False,False,False,False
55,2015-05-09,OO,ORD,LNK,466,18.0,,False,False,False,False,False
56,2015-04-16,VX,SFO,FLL,2584,12.0,,False,False,False,False,False
57,2015-02-02,HA,HNL,OGG,100,0.0,,False,False,False,False,False
